S1,S2,S3,S4,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20,S21,S22,S24,S25,S26,S27,S28,S29,S30,S32,Group
0.006208,0.0040549,0.0054981,0.0033806,0.0015345,0.0053531,0.0063924,0.0034097,0.0032585,0.0022183,0.0014686,0.0011574,0.0037312,0.0024701,0.0036206,0.0065099,0.0014547,0.0108969,0.001516,0.0023404,0.0009288,0.0020874,0.0100922,0.0012605,0.0103271,0.0064411,0.00276,0.0014985,CF
0.0062648,0.0041471,0.0055514,0.0035208,0.001568,0.0053443,0.0064032,0.0032936,0.0032936,0.0021929,0.0015365,0.0011388,0.0037437,0.0025652,0.0036233,0.0065816,0.0014522,0.0108869,0.0015094,0.0023785,0.0009244,0.0020604,0.0101341,0.0012554,0.010399,0.0065392,0.0028055,0.0014402,CF
0.0077967,0.0051283,0.0068502,0.0045062,0.0018843,0.0064413,0.0078437,0.0041316,0.0040475,0.0026241,0.001869,0.0013784,0.0045875,0.0029777,0.0044622,0.0080833,0.0017519,0.0135497,0.001836,0.00279,0.0010752,0.002579,0.0124353,0.0015504,0.0129382,0.0080022,0.0033777,0.0018286,CF
0.0064072,0.0041426,0.0056483,0.0036752,0.0016133,0.0056053,0.0066695,0.0035006,0.0035136,0.0022057,0.0015651,0.0012327,0.003946,0.0026375,0.0037612,0.0068997,0.001446,0.0116258,0.0015818,0.0024132,0.0008525,0.002178,0.0106172,0.0013376,0.0109848,0.0068209,0.0029592,0.0015021,CF
0.0063947,0.0040658,0.0055016,0.003225,0.0015475,0.0056466,0.0066274,0.0033583,0.0035128,0.0022839,0.0015396,0.0011753,0.003761,0.0025583,0.0036724,0.0066791,0.0013709,0.0111572,0.0015216,0.0023712,0.0008504,0.0020596,0.0104538,0.001202,0.0108001,0.0067511,0.0028072,0.0014317,CF
0.0065287,0.0043727,0.0059709,0.0037976,0.0016041,0.0057775,0.0068679,0.0036428,0.0036258,0.0022584,0.0016137,0.0012219,0.0040383,0.0026567,0.0038221,0.0070551,0.0014908,0.0121375,0.0015775,0.002489,0.0008498,0.0022228,0.0109879,0.0012843,0.0114489,0.0070183,0.002944,0.0015408,CF
0.0065951,0.00422,0.0057306,0.0034129,0.001586,0.0058113,0.0069502,0.0035361,0.0038128,0.0023219,0.0015911,0.0011609,0.0040339,0.0025629,0.0037322,0.0071589,0.0014704,0.0124497,0.0015775,0.0024338,0.0009112,0.0021484,0.0110509,0.0012696,0.0113323,0.007129,0.0029596,0.001514,CF
0.0068751,0.0046021,0.0062076,0.0040161,0.0016574,0.0062319,0.0072686,0.0038405,0.0039283,0.0024369,0.0016408,0.0012452,0.0042529,0.0027942,0.0040325,0.0075765,0.0014993,0.0132929,0.0016667,0.0026375,0.0009441,0.0023146,0.0117802,0.0013317,0.0121637,0.0075094,0.0031411,0.0015694,CF
0.0065542,0.0044783,0.0058455,0.0037468,0.0015935,0.0057161,0.0068416,0.0035226,0.0036165,0.0023322,0.0015817,0.00117,0.0040215,0.0026494,0.0038144,0.0070381,0.0014846,0.01203,0.0016025,0.0024381,0.0008912,0.0022026,0.0108549,0.0013139,0.0113151,0.0069676,0.0030275,0.0015793,CF
0.0066991,0.0045351,0.0058069,0.0038282,0.001653,0.0057745,0.0069658,0.003661,0.0036502,0.0023946,0.0016267,0.0012053,0.0041562,0.0027212,0.0038933,0.0072704,0.001537,0.0125085,0.0016411,0.0025668,0.0008958,0.0022665,0.0112351,0.0013461,0.0116098,0.0072205,0.0030773,0.0016342,CF
0.008117,0.0050641,0.0067687,0.0041858,0.0016971,0.0053019,0.0074784,0.0034885,0.003873,0.0023288,0.0016527,0.0012064,0.0039534,0.0026019,0.0036463,0.0068312,0.0019048,0.0109608,0.0016662,0.0025142,0.0008462,0.0022802,0.0106675,0.0016451,0.010764,0.0074934,0.0029051,0.0017715,CF
0.0076811,0.0050085,0.0064379,0.0040732,0.0017021,0.0054568,0.007375,0.0036229,0.0038866,0.0023753,0.0016997,0.0012332,0.004062,0.0027307,0.0038268,0.0069984,0.0018155,0.0114048,0.0016797,0.0025188,0.0009087,0.0023322,0.0109263,0.0015653,0.0111474,0.0074105,0.0030397,0.0017053,CF
0.0077888,0.0050855,0.0064599,0.0042354,0.0016655,0.0051977,0.0072934,0.0034886,0.0039084,0.0023046,0.0016686,0.0012007,0.0039805,0.0025647,0.0036801,0.0067918,0.0018029,0.0112084,0.0016386,0.0024604,0.000868,0.0022985,0.0106751,0.0016635,0.0108076,0.0073566,0.0029166,0.0017742,CF
0.0085431,0.0055437,0.0070368,0.0046464,0.0017794,0.0056453,0.0079398,0.0036678,0.0042527,0.0026524,0.0017637,0.0012419,0.0042658,0.0026759,0.0039112,0.0073171,0.001953,0.0122241,0.0017503,0.0026645,0.0007887,0.0024767,0.011647,0.0017991,0.0117078,0.0079975,0.0031116,0.0019262,CF
0.0084704,0.0053486,0.0070324,0.0044305,0.0017277,0.0061041,0.0081599,0.0036914,0.0043251,0.0025316,0.0017439,0.0013042,0.0042992,0.00279,0.0040201,0.0074165,0.0018467,0.0126833,0.0017473,0.0026504,0.0008704,0.0024242,0.0118498,0.0016128,0.0119711,0.0081505,0.003098,0.0017751,CF
0.0074647,0.0048978,0.0065805,0.0040069,0.0016884,0.0057645,0.0074257,0.0035893,0.0039178,0.0023989,0.0016853,0.0012798,0.0041406,0.0027184,0.0038947,0.0072279,0.0017183,0.0120913,0.0016691,0.0025953,0.0009042,0.0022756,0.0109383,0.0014976,0.0114995,0.0074989,0.0029872,0.0016798,CF
0.0064558,0.0042411,0.0054815,0.0035645,0.0016208,0.0055099,0.0065775,0.003505,0.0034481,0.0022693,0.0015644,0.0012189,0.00393,0.0026724,0.0037308,0.0068842,0.0015779,0.0113016,0.001568,0.0024773,0.0008494,0.0021994,0.0101916,0.0013459,0.0108717,0.0066593,0.0029596,0.0015442,kontrol
0.0072289,0.0048829,0.0063603,0.0038274,0.0017759,0.0058738,0.0073596,0.0037911,0.0038048,0.0024057,0.0017657,0.0013509,0.004251,0.0028233,0.0040744,0.0073876,0.0017085,0.011926,0.0017449,0.0026626,0.0009066,0.0023841,0.0110906,0.0015135,0.0116766,0.0074332,0.0031039,0.0016759,kontrol
0.0069316,0.0043849,0.0059662,0.0034178,0.00162,0.005905,0.0072095,0.0035163,0.0039167,0.0023376,0.0016206,0.0011806,0.0040101,0.0026287,0.0037431,0.0072326,0.001513,0.0128591,0.0015789,0.0024776,0.0007904,0.002225,0.0113865,0.0013435,0.0115065,0.0072822,0.0029659,0.0015772,kontrol
0.0065077,0.0044048,0.0057974,0.0036954,0.0016044,0.0055229,0.0067094,0.0034684,0.0034681,0.0022418,0.001589,0.0011609,0.0039235,0.0025302,0.0037114,0.0067449,0.0015373,0.0115429,0.0015755,0.0023989,0.0008538,0.0021954,0.0103414,0.0013196,0.0107353,0.0068171,0.0028792,0.0015422,kontrol
0.0061169,0.0040806,0.0053972,0.0035055,0.0015124,0.0053045,0.0063926,0.0033758,0.0033354,0.0021312,0.0014985,0.0011741,0.00375,0.0024592,0.003582,0.0065781,0.0014058,0.0112934,0.0015041,0.0023392,0.0008721,0.002095,0.0103046,0.0012389,0.0105421,0.006617,0.0027907,0.0014182,kontrol
0.0061806,0.0040672,0.0053478,0.0033445,0.0015514,0.0053864,0.0064806,0.0034543,0.003313,0.0021269,0.0015466,0.001099,0.0039017,0.0026113,0.0037304,0.0066778,0.0013822,0.0111814,0.0015675,0.0024221,0.0008766,0.0021476,0.0104652,0.0012857,0.0106346,0.0066883,0.0028618,0.0014206,kontrol
0.0064348,0.0042592,0.005589,0.0036734,0.0015854,0.0056151,0.0066276,0.0034488,0.0034361,0.0023525,0.0015747,0.0011051,0.0038942,0.0025588,0.0037104,0.0067693,0.0014923,0.0115772,0.0015297,0.002345,0.0007959,0.002141,0.0104087,0.0012908,0.010899,0.0067342,0.0028769,0.0014744,kontrol
0.0060854,0.0041255,0.0055787,0.0035709,0.0014902,0.0054497,0.0064984,0.0033139,0.0034801,0.0021146,0.0014904,0.0011414,0.0037988,0.0025126,0.0035209,0.0066708,0.0013965,0.011638,0.0014755,0.0023035,0.0008064,0.0020421,0.0103527,0.0012558,0.010581,0.006625,0.0028167,0.0014375,kontrol
0.0065774,0.0042273,0.0057769,0.0037288,0.0015567,0.0057867,0.0069527,0.0035821,0.0036964,0.0023856,0.001573,0.0011678,0.0040359,0.0026084,0.0038162,0.0072461,0.0015337,0.0126259,0.0015949,0.0024791,0.0008532,0.0021975,0.0111302,0.0013143,0.0113493,0.0070909,0.0030413,0.0015048,kontrol
0.0064776,0.0042649,0.0058001,0.00376,0.0015641,0.0056134,0.006783,0.0035094,0.0036543,0.0022806,0.0015582,0.0011059,0.0039769,0.0026224,0.0037727,0.0070792,0.0015507,0.012315,0.0015605,0.0024207,0.0008347,0.0021841,0.0109041,0.0013547,0.011201,0.006926,0.0030099,0.001527,kontrol
0.0062086,0.0041676,0.0055456,0.0035439,0.0015524,0.0055191,0.0066275,0.0035255,0.003514,0.0022172,0.001557,0.0011344,0.0039198,0.0025417,0.0037157,0.0068822,0.0014663,0.0119272,0.0015559,0.0024461,0.0008757,0.0021188,0.0106696,0.0012801,0.010955,0.0067585,0.0029471,0.0014936,kontrol
0.0066226,0.0041868,0.0058653,0.0035569,0.0016049,0.0057474,0.0068607,0.0036168,0.0036393,0.0023726,0.0015925,0.0011787,0.004039,0.0026449,0.0038307,0.0071159,0.0014942,0.0117558,0.0015962,0.002502,0.0008525,0.0022086,0.0111447,0.0012689,0.0114331,0.0069688,0.0029956,0.0014969,kontrol
0.0087696,0.0055694,0.0074117,0.0043227,0.0017987,0.0062409,0.0081831,0.0036967,0.0045307,0.0025391,0.0017809,0.0013378,0.0042961,0.0028511,0.004081,0.0075264,0.0018467,0.012333,0.0017254,0.0026908,0.0009836,0.0024175,0.0122355,0.0015899,0.0121985,0.00828,0.0031359,0.0017833,kontrol
0.0094631,0.0058556,0.0076102,0.0048036,0.0018803,0.0063435,0.0086042,0.0038376,0.0047366,0.0026809,0.0018286,0.0013849,0.0045138,0.002886,0.0041816,0.0078483,0.0020917,0.0132245,0.001821,0.0027761,0.0010033,0.0025692,0.0126376,0.0018354,0.0127498,0.0087352,0.003266,0.0019791,kontrol
0.0091581,0.0057931,0.007413,0.004657,0.0018568,0.0062506,0.0084897,0.0037442,0.0046468,0.0026115,0.0018697,0.0012796,0.0044388,0.0028617,0.0041251,0.0077638,0.0020244,0.0130464,0.0018179,0.0027355,0.0009088,0.0025844,0.012456,0.0018497,0.0125623,0.0084831,0.0032363,0.0020259,kontrol
0.0075956,0.0048569,0.0063079,0.0039634,0.0016422,0.0053808,0.0071454,0.0033243,0.0037258,0.0023017,0.0016501,0.0011812,0.003917,0.0025611,0.003686,0.0067693,0.0017433,0.0106787,0.0016189,0.0024857,0.0008546,0.002217,0.0105445,0.0015479,0.0107633,0.0071703,0.0028965,0.0016208,kontrol
0.0075195,0.0047367,0.0062582,0.0038095,0.0016374,0.0051757,0.0068738,0.003348,0.0037093,0.002263,0.0015983,0.0012361,0.0038119,0.0025182,0.0035913,0.0065755,0.0017011,0.0105118,0.0016009,0.002402,0.0007894,0.0022065,0.0101919,0.0015141,0.0103283,0.0069833,0.0027902,0.0016192,kontrol
0.0087087,0.005507,0.0072903,0.0043087,0.0017264,0.0056737,0.0078797,0.0035101,0.0041878,0.0024806,0.0017155,0.0012247,0.0041056,0.0026851,0.0038011,0.0071024,0.0018675,0.0113672,0.0016844,0.0025736,0.0008976,0.0023792,0.0115986,0.0016692,0.011338,0.008119,0.0029531,0.0017811,kontrol
0.0078499,0.0049856,0.0065367,0.0043307,0.001703,0.0053669,0.0072927,0.0035006,0.0038275,0.0023129,0.0016437,0.0012451,0.0039709,0.0026665,0.0036894,0.0068385,0.001748,0.0112692,0.0016211,0.0024809,0.000783,0.0022662,0.0106629,0.001613,0.0108704,0.0073611,0.0028949,0.001759,kontrol
0.0071874,0.0045425,0.0059538,0.0039871,0.0015334,0.0048847,0.0067444,0.0032433,0.0035443,0.0021722,0.001524,0.0010918,0.0036989,0.0024686,0.0034955,0.0063542,0.0016285,0.0104675,0.0015033,0.0023376,0.0008197,0.0021538,0.0098962,0.0014835,0.0099522,0.0068365,0.0026718,0.0016023,kontrol
0.0071827,0.004604,0.0058305,0.0036899,0.0014963,0.005325,0.0068033,0.003013,0.0036676,0.0021405,0.0014992,0.0010682,0.0035871,0.0023625,0.0034177,0.0061441,0.0014714,0.0094752,0.0014609,0.0022069,0.0007878,0.0020376,0.0099889,0.0012678,0.0099502,0.0068425,0.0025738,0.0013846,kontrol
