S1,S2,S3,S4,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20,S21,S22,S24,S25,S26,S27,S28,S29,S30,S32,Clase
0.0064947,0.0043646,0.0055791,0.0034296,0.0015895,0.0057849,0.006823,0.0034956,0.0036076,0.0022452,0.0015909,0.0011968,0.0039876,0.0026566,0.0037283,0.0068552,0.0014662,0.0114476,0.0015773,0.0024236,0.0008548,0.0021373,0.0105981,0.0012984,0.0110655,0.0068878,0.0029364,0.0015053,ninf
0.0071239,0.0045588,0.0064087,0.0038828,0.0016706,0.006233,0.0074248,0.0036126,0.0040322,0.002422,0.0016549,0.0012747,0.0042142,0.0028007,0.004028,0.0074446,0.0015645,0.0131046,0.0016412,0.0025271,0.0009703,0.0022743,0.0118153,0.0013254,0.0120815,0.0075625,0.0030906,0.0015598,ninf
0.0062581,0.0042143,0.0055964,0.0036483,0.0015195,0.0056701,0.0066485,0.0035184,0.0034615,0.0022492,0.0015801,0.0011511,0.0039569,0.0025737,0.0037135,0.0070216,0.0014837,0.0120957,0.0015376,0.002448,0.0008509,0.0021255,0.0108221,0.0012873,0.0110767,0.0068713,0.0029073,0.0014879,ninf
0.0068453,0.0045373,0.0058258,0.0038347,0.0016806,0.006009,0.0072432,0.0038191,0.0037567,0.0023531,0.0016422,0.0012422,0.0042399,0.0027816,0.0040526,0.0074204,0.0016033,0.0125705,0.0016803,0.0026114,0.000868,0.0022958,0.0114553,0.0014126,0.0118702,0.0072622,0.0031706,0.0016006,ninf
0.0084995,0.0054228,0.0071045,0.004352,0.0017675,0.0054643,0.0077897,0.0035762,0.0041315,0.0024808,0.0017248,0.0012511,0.0040982,0.0027028,0.0038236,0.0070925,0.0019185,0.0111556,0.00172,0.0025696,0.0008693,0.002422,0.0110429,0.0016928,0.0112459,0.0077604,0.0029509,0.0017765,ninf
0.0081809,0.0053294,0.0070459,0.0043282,0.0017721,0.005447,0.0076337,0.0035197,0.0039461,0.0023933,0.0017326,0.001206,0.0041285,0.0026666,0.0038131,0.0070238,0.0018996,0.0113875,0.00173,0.0025858,0.0008516,0.0024259,0.0107964,0.0017846,0.0111808,0.0077196,0.0030403,0.001837,ninf
0.0083063,0.0052627,0.0070403,0.0043948,0.0017387,0.0058899,0.0078695,0.0036881,0.0041302,0.0024717,0.0017366,0.0012961,0.0042542,0.0027728,0.0039683,0.0074461,0.0018327,0.0124765,0.0016982,0.0026827,0.0009625,0.0024296,0.011605,0.0016038,0.0119236,0.007859,0.0030751,0.0017397,ninf
0.0082181,0.0053127,0.0068489,0.0043966,0.0017558,0.0056383,0.0077337,0.0036705,0.0040714,0.0024622,0.001728,0.0012243,0.0042238,0.002755,0.0038643,0.0073382,0.0018546,0.0121288,0.0017383,0.0026996,0.0009962,0.0024781,0.0113132,0.001686,0.011646,0.0078989,0.0030644,0.001844,ninf
0.0089352,0.0058578,0.0076325,0.0048649,0.0018536,0.0059515,0.008411,0.0038544,0.0045146,0.0027118,0.001852,0.0012419,0.0044755,0.0028874,0.0040457,0.0076731,0.0020369,0.0128993,0.0018568,0.0028428,0.0009244,0.0025751,0.0119835,0.0019388,0.0121647,0.0085471,0.0033017,0.002002,ninf
0.0085661,0.0055742,0.0072042,0.0046419,0.0017696,0.0059821,0.0081347,0.0037848,0.0043102,0.0025612,0.0017959,0.0012575,0.0044033,0.0028662,0.0040386,0.0076591,0.001949,0.01292,0.0017515,0.0027026,0.0008775,0.0024959,0.0120939,0.001736,0.0121339,0.0081945,0.0032754,0.0018599,ninf
0.0080198,0.0051053,0.0066868,0.0041678,0.0016014,0.0049907,0.0071539,0.0032792,0.0038554,0.0022234,0.0015861,0.0011165,0.0037579,0.0024255,0.0034258,0.0064951,0.001809,0.0103687,0.0015594,0.0023869,0.000813,0.0022173,0.01011,0.0016238,0.0102775,0.0072161,0.0027119,0.0017358,ninf
0.0073313,0.0047804,0.0059858,0.0039936,0.0015895,0.0049487,0.0068763,0.003269,0.0036722,0.0021593,0.0015906,0.0010953,0.0037473,0.0024332,0.0034735,0.0064519,0.001747,0.0101811,0.0015485,0.0023295,0.0008318,0.0021725,0.0097793,0.0015373,0.0101618,0.0069374,0.0027001,0.0016368,ninf
0.0078806,0.0052639,0.0068071,0.0044529,0.0018847,0.0075123,0.0082612,0.0041946,0.0041948,0.0027566,0.0019007,0.0014818,0.0046195,0.0030285,0.0047127,0.0082379,0.0017516,0.0137974,0.0018191,0.0029625,0.0011339,0.0024707,0.0130168,0.0014845,0.0138157,0.0082406,0.0032925,0.0017471,inf
0.0081436,0.0052761,0.0072547,0.0042673,0.0018654,0.0062887,0.0083103,0.0040309,0.0040678,0.0028948,0.0018558,0.0013105,0.0047497,0.0029697,0.0044442,0.0080638,0.0019563,0.0128456,0.0018337,0.0028977,0.0009367,0.0025862,0.011638,0.0018369,0.0129395,0.0080735,0.0032608,0.0018968,inf
0.0085244,0.0051785,0.0070338,0.0037458,0.0017356,0.0055793,0.0078433,0.0034678,0.0041327,0.0026156,0.0017515,0.001326,0.0042015,0.0026412,0.0039291,0.0071884,0.0018857,0.0110276,0.0017029,0.002609,0.0008943,0.0024133,0.010494,0.0017681,0.0113461,0.0077381,0.0029282,0.0018636,inf
0.0084135,0.0054096,0.0070522,0.0041342,0.0018359,0.0061524,0.0082047,0.0038148,0.0041409,0.0028296,0.0018412,0.00131,0.0045386,0.002865,0.0043567,0.0078413,0.001954,0.0126857,0.0018228,0.0027444,0.0009454,0.0025193,0.0117714,0.0016988,0.0124479,0.0081447,0.0031789,0.0018546,inf
0.008998,0.0056124,0.0076683,0.0045661,0.0019381,0.006583,0.0088783,0.0039883,0.0045098,0.0029622,0.0019415,0.0014775,0.0049467,0.0030629,0.0045182,0.0084307,0.0021332,0.0139611,0.0018994,0.002936,0.0011338,0.0027304,0.0128072,0.001911,0.0133582,0.0086561,0.0034289,0.002022,inf
0.0099946,0.0064677,0.0084712,0.0057381,0.0022109,0.0076483,0.0101436,0.0046782,0.0053683,0.0032848,0.0021965,0.001619,0.0056168,0.0035566,0.0052312,0.0098181,0.0023214,0.0169308,0.0021533,0.0033497,0.0012684,0.0030886,0.0147497,0.0020598,0.0158749,0.0099616,0.0040084,0.0022459,inf
0.0085642,0.005514,0.007542,0.0048413,0.0020263,0.0072426,0.0088995,0.0043634,0.0046259,0.0031791,0.0020351,0.0015398,0.0052175,0.0033339,0.0049175,0.0091467,0.0020574,0.015349,0.0019818,0.0030707,0.0012374,0.0028094,0.0134078,0.0017879,0.0146241,0.0088719,0.0037969,0.0019728,inf
0.0088473,0.0057771,0.0077416,0.0046943,0.00205,0.0070276,0.0090495,0.0045186,0.0046933,0.003045,0.0020879,0.0014746,0.0052015,0.0032851,0.0049724,0.0091419,0.0021126,0.0152648,0.0020274,0.0030686,0.001164,0.0028229,0.0133515,0.0019079,0.0146762,0.008997,0.0037774,0.0021258,inf
0.0075006,0.0049696,0.0063394,0.0038918,0.0018068,0.0061891,0.0077951,0.0038004,0.0039837,0.0026768,0.0017431,0.001344,0.0044797,0.0028391,0.0041375,0.0077119,0.0017457,0.0129001,0.0017103,0.0026834,0.0010319,0.0024475,0.0116734,0.0015462,0.0123092,0.0077054,0.0031917,0.0017531,inf
0.0074358,0.0048667,0.0063353,0.0038965,0.0017782,0.0059985,0.0075603,0.0038813,0.0039047,0.0026169,0.0018019,0.0013391,0.0044156,0.0027902,0.0041455,0.0076522,0.0017088,0.0124122,0.0017727,0.0027305,0.0010207,0.0024849,0.0112271,0.0015815,0.0120358,0.0075224,0.0031654,0.0017224,inf
0.0071485,0.0046331,0.0062809,0.0040635,0.0017355,0.0058617,0.0073808,0.0037583,0.0037131,0.002544,0.001745,0.0012916,0.0043643,0.0027761,0.0041214,0.0074262,0.001706,0.0120159,0.001739,0.0026855,0.0010087,0.002366,0.0111021,0.0014796,0.0119133,0.0072682,0.0031055,0.0016531,inf
0.007002,0.0045651,0.0061265,0.0039084,0.0016901,0.0055017,0.0069734,0.0036705,0.0034759,0.0024726,0.0017095,0.0012934,0.0041516,0.0026959,0.0039679,0.0070776,0.001664,0.0109548,0.0017003,0.0026203,0.0009161,0.0023159,0.0104261,0.0015142,0.0113354,0.0069158,0.0030357,0.0016929,inf
0.0078502,0.0048617,0.0062839,0.0036722,0.0017015,0.0053823,0.0070262,0.003385,0.003545,0.00237,0.0016682,0.0012311,0.0039487,0.0026029,0.0038121,0.0068455,0.0016825,0.0109187,0.0016515,0.002553,0.0008738,0.0022799,0.0104934,0.0015266,0.0107595,0.007216,0.0029417,0.0018143,inf
0.0078832,0.0051652,0.0067829,0.0043815,0.001917,0.0065788,0.008077,0.0043017,0.0040751,0.0027617,0.001951,0.0014132,0.0047363,0.0031023,0.0045028,0.0082328,0.0018736,0.0135188,0.0019203,0.0029528,0.0011709,0.0026104,0.0124709,0.0016365,0.0130776,0.0081565,0.0034884,0.0018742,inf
0.0067657,0.0043802,0.0058164,0.0036463,0.0015542,0.005387,0.0066383,0.0033889,0.0034481,0.0022043,0.0015536,0.0011939,0.003753,0.0025322,0.0036508,0.0065016,0.0015168,0.0105117,0.00153,0.0023233,0.0008915,0.0020923,0.0102606,0.0013041,0.0105062,0.0067519,0.0027555,0.0015337,inf
0.0070348,0.0044948,0.0061329,0.0038788,0.0016804,0.0057441,0.0071411,0.003684,0.0036686,0.0024009,0.0016967,0.0012757,0.0041879,0.0027912,0.0040318,0.007216,0.0016757,0.0119652,0.0016894,0.0026292,0.0009376,0.0022767,0.0110925,0.0014565,0.0117588,0.0072592,0.0031009,0.0017055,inf
0.0060954,0.0041537,0.0053171,0.0034835,0.0015103,0.0050162,0.0062171,0.0032417,0.0031454,0.0021526,0.0014877,0.0011168,0.0036242,0.0024354,0.0034807,0.0062897,0.0014145,0.0103238,0.0014567,0.0022987,0.0008929,0.0020733,0.0096383,0.0012308,0.0100278,0.0062547,0.0026151,0.0014289,inf
0.0065719,0.0043089,0.0058525,0.0037187,0.001633,0.0055642,0.0067902,0.003582,0.0034466,0.0023388,0.0016138,0.0011715,0.0039671,0.0026465,0.0038232,0.0068739,0.0015154,0.0113288,0.0015922,0.002477,0.000988,0.0022099,0.0105381,0.0013714,0.0109651,0.0069752,0.0029329,0.0015792,inf
0.006208,0.0040549,0.0054981,0.0033806,0.0015345,0.0053531,0.0063924,0.0034097,0.0032585,0.0022183,0.0014686,0.0011574,0.0037312,0.0024701,0.0036206,0.0065099,0.0014547,0.0108969,0.001516,0.0023404,0.0009288,0.0020874,0.0100922,0.0012605,0.0103271,0.0064411,0.00276,0.0014985,inf
0.0062648,0.0041471,0.0055514,0.0035208,0.001568,0.0053443,0.0064032,0.0032936,0.0032936,0.0021929,0.0015365,0.0011388,0.0037437,0.0025652,0.0036233,0.0065816,0.0014522,0.0108869,0.0015094,0.0023785,0.0009244,0.0020604,0.0101341,0.0012554,0.010399,0.0065392,0.0028055,0.0014402,inf
